,CA_3,arima_forecast,sarima_forecast,rfr_forecast,knn_forecast
d_628,4800.0,,,,
d_629,4808.0,,,,
d_630,5008.0,,,,
d_631,6431.0,,,,
d_632,6965.0,,,,
d_633,5282.0,,,,
d_634,4456.0,,,,
d_635,4299.0,,,,
d_636,4043.0,,,,
d_637,4567.0,,,,
d_638,5891.0,,,,
d_639,6364.0,,,,
d_640,4807.0,,,,
d_641,4966.0,,,,
d_642,4240.0,,,,
d_643,5062.0,,,,
d_644,5862.0,,,,
d_645,7068.0,,,,
d_646,7385.0,,,,
d_647,5665.0,,,,
d_648,5198.0,,,,
d_649,5165.0,,,,
d_650,5029.0,,,,
d_651,5494.0,,,,
d_652,7100.0,,,,
d_653,6958.0,,,,
d_654,5339.0,,,,
d_655,4588.0,,,,
d_656,4373.0,,,,
d_657,4336.0,,,,
d_658,4985.0,,,,
d_659,6169.0,,,,
d_660,6340.0,,,,
d_661,5149.0,,,,
d_662,5191.0,,,,
d_663,5513.0,,,,
d_664,3568.0,,,,
d_665,3414.0,,,,
d_666,4870.0,,,,
d_667,5278.0,,,,
d_668,4594.0,,,,
d_669,3901.0,,,,
d_670,3937.0,,,,
d_671,3800.0,,,,
d_672,4557.0,,,,
d_673,6741.0,,,,
d_674,6518.0,,,,
d_675,5623.0,,,,
d_676,5023.0,,,,
d_677,4802.0,,,,
d_678,4948.0,,,,
d_679,5297.0,,,,
d_680,6365.0,,,,
d_681,6596.0,,,,
d_682,5630.0,,,,
d_683,5004.0,,,,
d_684,4617.0,,,,
d_685,4712.0,,,,
d_686,4739.0,,,,
d_687,6021.0,,,,
d_688,6110.0,,,,
d_689,5115.0,,,,
d_690,5173.0,,,,
d_691,4495.0,,,,
d_692,4910.0,,,,
d_693,4959.0,,,,
d_694,6147.0,,,,
d_695,5929.0,,,,
d_696,5451.0,,,,
d_697,4.0,,,,
d_698,4987.0,,,,
d_699,4819.0,,,,
d_700,5124.0,,,,
d_701,6197.0,,,,
d_702,5727.0,,,,
d_703,5385.0,,,,
d_704,3580.0,,,,
d_705,5510.0,,,,
d_706,5999.0,,,,
d_707,5828.0,,,,
d_708,6842.0,,,,
d_709,7306.0,,,,
d_710,5716.0,,,,
d_711,5828.0,,,,
d_712,4945.0,,,,
d_713,5307.0,,,,
d_714,5169.0,,,,
d_715,6913.0,,,,
d_716,7073.0,,,,
d_717,5048.0,,,,
d_718,4618.0,,,,
d_719,4922.0,,,,
d_720,4713.0,,,,
d_721,5134.0,,,,
d_722,6535.0,,,,
d_723,6065.0,,,,
d_724,5458.0,,,,
d_725,4816.0,,,,
d_726,4354.0,,,,
d_727,3872.0,,,,
d_728,4937.0,,,,
d_729,6517.0,,,,
d_730,6582.0,,,,
d_731,4716.0,,,,
d_732,4615.0,,,,
d_733,3996.0,,,,
d_734,4376.0,,,,
d_735,5718.0,,,,
d_736,7934.0,,,,
d_737,6098.0,,,,
d_738,5364.0,,,,
d_739,4705.0,,,,
d_740,4765.0,,,,
d_741,5046.0,,,,
d_742,5450.0,,,,
d_743,6153.0,,,,
d_744,5449.0,,,,
d_745,6264.0,,,,
d_746,5705.0,,,,
d_747,5925.0,,,,
d_748,4276.0,,,,
d_749,5196.0,,,,
d_750,6403.0,,,,
d_751,6663.0,,,,
d_752,6040.0,,,,
d_753,4805.0,,,,
d_754,4766.0,,,,
d_755,4856.0,,,,
d_756,5303.0,,,,
d_757,6667.0,,,,
d_758,7109.0,,,,
d_759,5587.0,,,,
d_760,4697.0,,,,
d_761,4653.0,,,,
d_762,5031.0,,,,
d_763,6273.0,,,,
d_764,7938.0,,,,
d_765,7599.0,,,,
d_766,6081.0,,,,
d_767,5578.0,,,,
d_768,5244.0,,,,
d_769,4405.0,,,,
d_770,5728.0,,,,
d_771,6932.0,,,,
d_772,7336.0,,,,
d_773,6095.0,,,,
d_774,5134.0,,,,
d_775,5355.0,,,,
d_776,5259.0,,,,
d_777,5521.0,,,,
d_778,6545.0,,,,
d_779,7107.0,,,,
d_780,5780.0,,,,
d_781,4789.0,,,,
d_782,5112.0,,,,
d_783,4990.0,,,,
d_784,5196.0,,,,
d_785,6256.0,,,,
d_786,6295.0,,,,
d_787,5056.0,,,,
d_788,4907.0,,,,
d_789,4912.0,,,,
d_790,4924.0,,,,
d_791,5651.0,,,,
d_792,7036.0,,,,
d_793,3352.0,,,,
d_794,6219.0,,,,
d_795,6163.0,,,,
d_796,6024.0,,,,
d_797,5419.0,,,,
d_798,6548.0,,,,
d_799,6971.0,,,,
d_800,7769.0,,,,
d_801,5897.0,,,,
d_802,6188.0,,,,
d_803,5896.0,,,,
d_804,5673.0,,,,
d_805,5900.0,,,,
d_806,7137.0,,,,
d_807,6924.0,,,,
d_808,5700.0,,,,
d_809,5748.0,,,,
d_810,5300.0,,,,
d_811,5157.0,,,,
d_812,5685.0,,,,
d_813,6862.0,,,,
d_814,7463.0,,,,
d_815,5712.0,,,,
d_816,5432.0,,,,
d_817,5262.0,,,,
d_818,4906.0,,,,
d_819,5150.0,,,,
d_820,6341.0,,,,
d_821,6994.0,,,,
d_822,4975.0,,,,
d_823,5200.0,,,,
d_824,5876.0,,,,
d_825,5882.0,,,,
d_826,6440.0,,,,
d_827,6672.0,,,,
d_828,7015.0,,,,
d_829,6920.0,,,,
d_830,5839.0,,,,
d_831,5429.0,,,,
d_832,5726.0,,,,
d_833,6021.0,,,,
d_834,7547.0,,,,
d_835,6384.0,,,,
d_836,6371.0,,,,
d_837,6192.0,,,,
d_838,5797.0,,,,
d_839,5245.0,,,,
d_840,5569.0,,,,
d_841,6884.0,,,,
d_842,7554.0,,,,
d_843,6203.0,,,,
d_844,5228.0,,,,
d_845,5128.0,,,,
d_846,5111.0,,,,
d_847,5576.0,,,,
d_848,6126.0,,,,
d_849,6076.0,,,,
d_850,6402.0,,,,
d_851,5443.0,,,,
d_852,4846.0,,,,
d_853,4893.0,,,,
d_854,6012.0,,,,
d_855,7176.0,,,,
d_856,8187.0,,,,
d_857,6893.0,,,,
d_858,6232.0,,,,
d_859,6441.0,,,,
d_860,5885.0,,,,
d_861,6594.0,,,,
d_862,8003.0,,,,
d_863,8736.0,,,,
d_864,7537.0,,,,
d_865,6113.0,,,,
d_866,5851.0,,,,
d_867,5782.0,,,,
d_868,6555.0,,,,
d_869,7244.0,,,,
d_870,6787.0,,,,
d_871,6403.0,,,,
d_872,5802.0,,,,
d_873,5639.0,,,,
d_874,5516.0,,,,
d_875,6308.0,,,,
d_876,7192.0,,,,
d_877,7651.0,,,,
d_878,6080.0,,,,
d_879,5820.0,,,,
d_880,5331.0,,,,
d_881,5589.0,,,,
d_882,6528.0,,,,
d_883,8354.0,,,,
d_884,8163.0,,,,
d_885,7599.0,,,,
d_886,7238.0,,,,
d_887,8136.0,,,,
d_888,7170.0,,,,
d_889,7053.0,,,,
d_890,7123.0,,,,
d_891,8035.0,,,,
d_892,6899.0,,,,
d_893,6717.0,,,,
d_894,6803.0,,,,
d_895,5824.0,,,,
d_896,6412.0,,,,
d_897,7117.0,,,,
d_898,7497.0,,,,
d_899,6096.0,,,,
d_900,5689.0,,,,
d_901,5708.0,,,,
d_902,5808.0,,,,
d_903,5898.0,,,,
d_904,7319.0,,,,
d_905,7857.0,,,,
d_906,5996.0,,,,
d_907,5958.0,,,,
d_908,5497.0,,,,
d_909,5974.0,,,,
d_910,6244.0,,,,
d_911,7509.0,,,,
d_912,7187.0,,,,
d_913,5994.0,,,,
d_914,5437.0,,,,
d_915,6026.0,,,,
d_916,6908.0,,,,
d_917,6880.0,,,,
d_918,7667.0,,,,
d_919,8137.0,,,,
d_920,7259.0,,,,
d_921,6178.0,,,,
d_922,6541.0,,,,
d_923,6419.0,,,,
d_924,6881.0,,,,
d_925,7841.0,,,,
d_926,7667.0,,,,
d_927,6829.0,,,,
d_928,6336.0,,,,
d_929,5641.0,,,,
d_930,5982.0,,,,
d_931,6529.0,,,,
d_932,7359.0,,,,
d_933,8088.0,,,,
d_934,6958.0,,,,
d_935,6227.0,,,,
d_936,5719.0,,,,
d_937,5499.0,,,,
d_938,6546.0,,,,
d_939,7445.0,,,,
d_940,8632.0,,,,
d_941,6409.0,,,,
d_942,6113.0,,,,
d_943,5916.0,,,,
d_944,5869.0,,,,
d_945,6866.0,,,,
d_946,7869.0,,,,
d_947,7718.0,,,,
d_948,8518.0,,,,
d_949,6780.0,,,,
d_950,5879.0,,,,
d_951,6318.0,,,,
d_952,6592.0,,,,
d_953,8176.0,,,,
d_954,9338.0,,,,
d_955,7422.0,,,,
d_956,6992.0,,,,
d_957,6707.0,,,,
d_958,6222.0,,,,
d_959,6712.0,,,,
d_960,7763.0,,,,
d_961,8509.0,,,,
d_962,7340.0,,,,
d_963,6014.0,,,,
d_964,5851.0,,,,
d_965,5794.0,,,,
d_966,6385.0,,,,
d_967,7447.0,,,,
d_968,8219.0,,,,
d_969,6299.0,,,,
d_970,5890.0,,,,
d_971,5665.0,,,,
d_972,5601.0,,,,
d_973,6104.0,,,,
d_974,6919.0,,,,
d_975,7293.0,,,,
d_976,5955.0,,,,
d_977,6153.0,,,,
d_978,5966.0,,,,
d_979,5942.0,,,,
d_980,6741.0,,,,
d_981,8179.0,,,,
d_982,8847.0,,,,
d_983,6858.0,,,,
d_984,6630.0,,,,
d_985,6346.0,,,,
d_986,6543.0,,,,
d_987,6281.0,,,,
d_988,7392.0,,,,
d_989,7866.0,,,,
d_990,6208.0,,,,
d_991,5911.0,,,,
d_992,5722.0,,,,
d_993,5514.0,,,,
d_994,5788.0,,,,
d_995,7226.0,,,,
d_996,7833.0,,,,
d_997,6006.0,,,,
d_998,5307.0,,,,
d_999,5270.0,,,,
d_1000,5348.0,,,,
d_1001,5745.0,,,,
d_1002,7021.0,,,,
d_1003,7485.0,,,,
d_1004,6133.0,,,,
d_1005,5494.0,,,,
d_1006,6158.0,,,,
d_1007,4552.0,,,,
d_1008,6514.0,,,,
d_1009,8155.0,,,,
d_1010,8482.0,,,,
d_1011,6696.0,,,,
d_1012,6145.0,,,,
d_1013,6032.0,,,,
d_1014,5958.0,,,,
d_1015,6247.0,,,,
d_1016,7700.0,,,,
d_1017,7860.0,,,,
d_1018,6936.0,,,,
d_1019,5195.0,,,,
d_1020,5386.0,,,,
d_1021,4917.0,,,,
d_1022,5925.0,,,,
d_1023,7024.0,,,,
d_1024,7761.0,,,,
d_1025,5595.0,,,,
d_1026,4861.0,,,,
d_1027,4771.0,,,,
d_1028,4982.0,,,,
d_1029,5387.0,,,,
d_1030,6517.0,,,,
d_1031,6704.0,,,,
d_1032,5224.0,,,,
d_1033,5517.0,,,,
d_1034,5365.0,,,,
d_1035,3369.0,,,,
d_1036,3894.0,,,,
d_1037,5268.0,,,,
d_1038,6371.0,,,,
d_1039,6392.0,,,,
d_1040,6795.0,,,,
d_1041,5434.0,,,,
d_1042,5615.0,,,,
d_1043,6137.0,,,,
d_1044,7502.0,,,,
d_1045,7029.0,,,,
d_1046,6002.0,,,,
d_1047,5689.0,,,,
d_1048,5251.0,,,,
d_1049,4896.0,,,,
d_1050,5955.0,,,,
d_1051,6504.0,,,,
d_1052,6734.0,,,,
d_1053,5808.0,,,,
d_1054,5279.0,,,,
d_1055,5255.0,,,,
d_1056,5056.0,,,,
d_1057,4985.0,,,,
d_1058,6147.0,,,,
d_1059,6615.0,,,,
d_1060,5727.0,,,,
d_1061,4594.0,,,,
d_1062,3.0,,,,
d_1063,5972.0,,,,
d_1064,5771.0,,,,
d_1065,6006.0,,,,
d_1066,6040.0,,,,
